| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| Java架构师 | 郑州·中原区·高新区 | 15-20K | 5-10年本科 | 河南志信科技有限公司 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/80000cfd65d3319e1nd429m7EFdT.html |
| 中级java工程师-双休-入职五险一金 | 郑州·金水区·CBD | 10-15K | 3-5年本科 | 托普莱特 | 游戏1000-9999人 | https://www.zhipin.com/job_detail/429e6a7e488885a61Hd439--GVVR.html |
| JAVA开发工程师（支付行业） | 郑州·管城回族区·东大街 | 11-16K | 3-5年大专 | 紫程 | 大数据不需要融资20-99人 | https://www.zhipin.com/job_detail/209e9e9814174e771Hx80tq5EFVX.html |
| JAVA工程师/架构师 | 郑州 | 20-30K | 5-10年本科 | 某500强上市公司 | 农/林/牧/渔已上市10000人以上 | https://www.zhipin.com/job_detail/1c543b182a4eac661HFz2tW9EFNV.html |
| 中级java开发工程师 | 郑州·中原区·高新区 | 8-13K | 3-5年本科 | 宏鹰科技 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/8e72e0f1d42bbc8b1HJ72tm_GFVS.html |
| 赞同出来南京岗位3-5年银行经验JAVA | 郑州·中牟县·广惠街 | 14-18K | 3-5年本科 | 长亮科技 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/64103d88b33769521HJ929q8EFVU.html |
| Java/Go开发高级工程师 | 郑州·管城回族区·经开区 | 17-25K·13薪 | 5-10年本科 | 富泰华工业 | 互联网已上市10000人以上 | https://www.zhipin.com/job_detail/44f9c5e63cbc0f461XJ_09q0GFNW.html |
| 高级java开发工程师（郑州） | 郑州·二七区·京广路 | 9-14K | 3-5年本科 | 数元 | 通信/网络设备0-20人 | https://www.zhipin.com/job_detail/57542f84c341d7bd1Hx_0960FFVW.html |
| java开发工程师 | 郑州·金水区·CBD | 10-15K | 3-5年本科 | 河南小巨蛋网络科技 | 企业服务未融资0-20人 | https://www.zhipin.com/job_detail/21f3dd3453465a4e1Xx909-9EFNY.html |
| java开发工程师 | 郑州·中原区·新郑大 | 11-22K·13薪 | 5-10年本科 | 亚信科技 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/524052c8fd4af8da1XJ53d20GVZW.html |
| java软件开发 | 郑州·中原区·高新区 | 6-8K | 3-5年学历不限 | 数字星宇 | 玩具/礼品不需要融资0-20人 | https://www.zhipin.com/job_detail/b62ff0eef5483dc71HJ_3Ni7E1pR.html |
| 技术顾问（Java） | 郑州·中原区·高新区 | 10-15K | 5-10年本科 | 智书企飞 | 企业服务A轮100-499人 | https://www.zhipin.com/job_detail/63abb299c80766f01Hx829W1FVBR.html |
| 研发项目经理（Java方向） | 郑州·金水区·龙湖岛 | 10-15K | 5-10年本科 | 河南拓普丰联 | 计算机软件未融资500-999人 | https://www.zhipin.com/job_detail/7c3fb7cf6d22916e1Xd839m-FVRX.html |
| 急聘-数字马力-HR技术部-中高级后端研发 | 郑州·管城回族区·郑州东站 | 13-22K·13薪 | 3-5年本科 | 蚂蚁集团 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/0ee1440773cdf35f1XZy2N27E1JX.html |
| Java | 郑州·金水区·金水路 | 6-10K | 3-5年本科 | 英高克 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/18f352d2295ac3bf1Hx52NW5E1BU.html |
| U3D、Java游戏开发工程师 | 郑州·管城回族区·航海东路 | 12-20K | 1年以内大专 | 嬴族 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/942ee754649b3e271nx439m9GFRT.html |
| java开发（银行+六险一金+双休） | 郑州·金水区·CBD | 14-16K | 3-5年本科 | 法本 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/2d27a08f7a49f03b1Hx82d29F1VS.html |
| java开发 | 郑州·金水区·祭城 | 5-8K | 3-5年本科 | 河南橙星纪元信息技术 | 互联网未融资20-99人 | https://www.zhipin.com/job_detail/29a76b0c8627a7441HZ52tW4FFtQ.html |
| java开发工程师 | 郑州·中原区·高新区 | 8-13K·13薪 | 1-3年本科 | 畅想高科 | 智能硬件未融资100-499人 | https://www.zhipin.com/job_detail/97ea04d46729d9f01XN52964E1VY.html |
| 资深java开发工程师 | 郑州·中原区·高新区 | 8-12K | 5-10年本科 | 河南朗月清风网络科技 | 互联网20-99人 | https://www.zhipin.com/job_detail/d66833bc74b010751HB53t24EFBT.html |
| 中级java开发工程师 | 郑州·金水区·CBD | 9-14K | 3-5年本科 | 云语信息技术 | 大数据未融资100-499人 | https://www.zhipin.com/job_detail/2f94545e1af685a81HB82Nm-FFJX.html |
| 高级java开发 | 郑州·中原区·伏牛路 | 8-12K | 经验不限本科 | 河南智艺 | 文化艺术/娱乐0-20人 | https://www.zhipin.com/job_detail/dbaaa4fa21c13a1c1Hx_2tm7FVFS.html |
| Java | 郑州·管城回族区·航海东路 | 4-6K | 1-3年大专 | 宏顶高科 | 计算机软件不需要融资0-20人 | https://www.zhipin.com/job_detail/0d098283dd5764f51Hx53N-5FVBS.html |
| 【Java开发】·蚂蚁大厂 | 郑州·管城回族区·郑州东站 | 10-13K | 5-10年本科 | 人瑞集团 | 互联网500-999人 | https://www.zhipin.com/job_detail/d5b838effa7679121HB82NS0EFZS.html |
| 高级软件工程师 | 郑州·管城回族区·航海东路 | 6-11K | 1-3年本科 | 中秀科技 | 医疗器械不需要融资100-499人 | https://www.zhipin.com/job_detail/08cd0e040c1246b21HJ_2d65GVNS.html |
| 中级java开发工程师 | 郑州·金水区·国基路 | 10-15K | 3-5年本科 | 创想领航 | 大数据未融资20-99人 | https://www.zhipin.com/job_detail/781919984da1835d1HJ43du9GFFU.html |
| JAVA开发工程师 | 郑州·金水区·丰产路 | 8-13K | 3-5年本科 | 北京中安科德智能设备 | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/159c9d77daa39ba41HNz2di5F1tZ.html |
| 中级java开发工程师 | 郑州·金水区·丰产路 | 10-12K | 3-5年本科 | 迪睿金科 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/1e83f9354bfc7d3f1Hd42Ni-EFVR.html |
| java开发工程师 | 郑州·中原区·高新区 | 10-15K | 5-10年本科 | 叮叮智能 | 互联网未融资100-499人 | https://www.zhipin.com/job_detail/0f29dd5c0e475e6b1HB83tu0EVdS.html |
| Java | 郑州 | 20-25K | 3-5年本科 | 某大型智能硬件公司 | 智能硬件B轮500-999人 | https://www.zhipin.com/job_detail/c80d5fc8957a07bf1XN-3Nq1E1JZ.html |
| Java开发工程师  双休  节假日正常休 | 郑州·中原区·新郑大 | 5-6K | 1-3年本科 | 经方云 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/f5eca2e93c4150581HN80961ElVR.html |
| java技术经理 | 郑州·二七区·长江路 | 15-20K | 5-10年本科 | 中资 | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/bcd2a5079ddb231e1HJ_0ty8FlBW.html |
| java后端开发工程师 | 郑州·金水区·龙子湖校区 | 5-8K | 3-5年大专 | 安吉利通 | 互联网金融未融资100-499人 | https://www.zhipin.com/job_detail/3b5ba0514252d4f01XJ_3ty1ElFZ.html |
| Java开发岗（银行经验） | 郑州·金水区·CBD | 13-15K | 3-5年本科 | 天阳科技 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/44498168177080091HFz39m4F1NQ.html |
| java开发工程师 | 郑州·金水区·祭城 | 12-20K·13薪 | 5-10年本科 | 智慧油客 | 互联网B轮100-499人 | https://www.zhipin.com/job_detail/1a400649afa303c91HZ72ti9ElpW.html |
| java开发工程师 | 郑州·中原区·高新区 | 6-7K | 3-5年本科 | 陕西万德信息 | 通信/网络设备已上市500-999人 | https://www.zhipin.com/job_detail/b4fd818e4512bb181X1639W0GVpU.html |
| 高级java开发（架构师方向） | 郑州·中原区·高新区 | 11-22K | 5-10年大专 | 新开普 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/5dd362251135ef591Xx-09m8E1BS.html |
| 技术经理java方向 | 郑州 | 18-30K·13薪 | 5-10年大专 | 某知名互联网公司 | 互联网B轮1000-9999人 | https://www.zhipin.com/job_detail/cccd7a56f67f13d21HZ_2dm0ElJZ.html |
| Java | 郑州·二七区·京广路 | 4-5K | 1-3年本科 | 海为电子 | 计算机服务不需要融资20-99人 | https://www.zhipin.com/job_detail/907870d4edc9f7a01HZz2NW-EFFZ.html |
| java开发工程师 | 郑州·管城回族区·郑州东站 | 8-11K | 3-5年大专 | 郑州思博科 | 互联网未融资20-99人 | https://www.zhipin.com/job_detail/b2c87725038ed3011Hx82dq0GVJW.html |
