| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| 腾讯云-Java开发工程师（长沙） | 长沙·岳麓区·汽车西站 | 11-22K·14薪 | 3-5年本科 | 腾讯 | 互联网不需要融资10000人以上 | https://www.zhipin.com/job_detail/b94c466c469321801Hx629u4E1dW.html |
| Java开发工程师（岳麓区） | 长沙·岳麓区·麓谷 | 10-12K | 5-10年本科 | 湖南新航动力 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/47b77c930b376be81XV629q9FldW.html |
| java研发工程师 | 长沙 | 17-25K | 3-5年本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/460b928ece8193001HJ_3d-6E1RX.html |
| 高级JAVA开发工程师 | 长沙·岳麓区·麓谷 | 10-14K | 5-10年大专 | 联合智为 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/0e8511197ac8fb831nB-2NW1GFJS.html |
| JAVA架构师18-22 | 长沙·天心区·金盆岭 | 18-22K | 5-10年大专 | 小算科技 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/b4c08a374b7fa3981Hx_2tm_FVtU.html |
| 架构师（java） | 长沙·天心区·省政府 | 12-20K | 5-10年本科 | 旭能致承 | 物联网不需要融资100-499人 | https://www.zhipin.com/job_detail/5880ebdbff420ffb03F_3Ni4FVI~.html |
| 初中级java工程师 | 长沙·雨花区·井湾子 | 7-10K | 5-10年本科 | 大家赢 | 电子商务20-99人 | https://www.zhipin.com/job_detail/d789639f21e819fb1Hx529W-ElpX.html |
| 高级java | 长沙 | 20-21K | 5-10年本科 | 某大型计算机软件公司 | 计算机软件不需要融资500-999人 | https://www.zhipin.com/job_detail/91b7e2594e90d8651HB609S7FFBW.html |
| Java开发工程师（国企-长沙银行） | 长沙 | 18-25K | 3-5年本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/c00f78551340ddec1HV_3d2_ElVS.html |
| java服务端开发工程师 | 长沙 | 15-25K | 5-10年本科 | 某知名互联网公司 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/21ce71e3f8dc56301HZ72tu4ElVU.html |
| java中高级开发工程师 | 长沙·芙蓉区·马王堆 | 10-15K | 5-10年本科 | 知青甄选 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/f10776b1a50e463c1HVy3t2-GVdS.html |
| java开发工程师（高级） | 长沙·岳麓区·观沙岭 | 12-17K | 5-10年本科 | 悦锦数字科技 | 互联网金融不需要融资100-499人 | https://www.zhipin.com/job_detail/8c35a92b594c0d631HN93Nq0FlRQ.html |
| Java高级开发工程师 | 长沙·岳麓区·观沙岭 | 16-25K | 5-10年本科 | 无域科技 | 互联网C轮500-999人 | https://www.zhipin.com/job_detail/5debfcab539efaeb1XZ53t67FFBQ.html |
| Java 开发总监 | 长沙·长沙县·榔梨镇 | 13-18K | 5-10年本科 | 敬在信息 | 计算机软件A轮100-499人 | https://www.zhipin.com/job_detail/40c76f2ba1dcf4cb1Hx92N66GVNV.html |
| Java高级开发工程师 | 长沙·望城区·雷锋镇 | 15-30K·15薪 | 3-5年本科 | 中科云谷 | 互联网未融资500-999人 | https://www.zhipin.com/job_detail/00d3dee8f64cb5281XRz3dW-FFFV.html |
| 资深java开发工程师 | 长沙 | 15-25K·14薪 | 5-10年本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/205b7b265a485cc71HB42N27EFFT.html |
| 中/高级java工程师 | 长沙·芙蓉区·马王堆 | 10-15K·13薪 | 5-10年本科 | 君领科技 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/76db1b28b32c3f681HR40tq5GVNS.html |
| java高级研发工程师 | 长沙·天心区·云塘理工 | 10-15K | 5-10年本科 | 青苹果数据中心 | 互联网未融资500-999人 | https://www.zhipin.com/job_detail/fa9641d69d75dc181HJ80ti-EltZ.html |
| JAVA高级工程师 | 长沙·岳麓区·麓谷 | 18-25K·13薪 | 5-10年本科 | G加ERP | 计算机软件A轮500-999人 | https://www.zhipin.com/job_detail/fa5db50cc00d62131nd72tW6FVRY.html |
| 资深java工程师/java技术主管 | 长沙·岳麓区·麓谷 | 15-30K·14薪 | 5-10年本科 | 卫宁健康 | 医疗健康已上市1000-9999人 | https://www.zhipin.com/job_detail/1ee68462707178331HN-3dq4GFJS.html |
