| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| python工程师 | 沈阳·铁西区·铁西广场 | 5-8K | 1-3年本科 | 星擎科技 | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/e089a2c256199e1b1Hx83960GVZW.html |
| 中级java开发工程师 | 沈阳·沈河区·市府 | 6-10K | 5-10年本科 | 沈阳亿思达 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/e574bec5df4d05441Xxy0tS4EVRR.html |
| 后端开发工程师 | 沈阳·浑南区·白塔 | 10-15K | 5-10年本科 | 金睛云华 | 信息安全B轮100-499人 | https://www.zhipin.com/job_detail/cd6215d0162299ea1HN70tS_FlpV.html |
| java全栈工程师 | 沈阳·和平区·文化路 | 6-11K | 3-5年本科 | 沈阳思优科 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/9487dc34645dd06b1Hx42N68ElpY.html |
| JAVA / PHP开发 | 沈阳·浑南区·白塔 | 3-5K | 经验不限本科 | 天泰医疗 | 医疗器械未融资20-99人 | https://www.zhipin.com/job_detail/3ff9dd810b8b5f2e1nV62ty6GVtW.html |
| 后端开发工程 | 沈阳·皇姑区·昆山 | 7-8K | 3-5年本科 | 哈工科讯研究院 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/38a83b6fac58122b1HJ629q9EFFU.html |
| 数据库产品研发总监 | 沈阳·沈河区·北站 | 30-60K | 3-5年本科 | 节点数据科技 | 计算机软件天使轮0-20人 | https://www.zhipin.com/job_detail/9fb01806d506585f1HR529W1FVU~.html |
| 高级软件工程师-C# | 沈阳·浑南区·桃仙 | 15-23K | 5-10年硕士 | 飞利浦 | 电子商务已上市10000人以上 | https://www.zhipin.com/job_detail/45fe9b0c50b178a71Hx_09u8FFFS.html |
| 研发经理 | 沈阳·浑南区·五三 | 13-20K | 10年以上本科 | 大平恒集团 | 医疗服务未融资500-999人 | https://www.zhipin.com/job_detail/5af1c0d7d89c0a611HJ_3d6-EVNS.html |
| 高级硬件工程师 | 沈阳 | 20-25K | 10年以上本科 | 奥维通信 | 其他制造业已上市100-499人 | https://www.zhipin.com/job_detail/b9c8e21daec01dc91HN-3dm1FFRS.html |
