| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| 高级java架构师 | 重庆·渝中区·渝州路 | 20-23K | 5-10年本科 | 什马速运 | 互联网0-20人 | https://www.zhipin.com/job_detail/1d5e5a2a8c866bba1HN62928FFNZ.html |
| JAVA研发工程师（重庆蚂蚁消金） | 重庆·南岸区·弹子石 | 25-45K·13薪 | 5-10年本科 | 蚂蚁集团 | 互联网不需要融资10000人以上 | https://www.zhipin.com/job_detail/a352edca97e0361f1XF83925E1dR.html |
| Java开发工程师 | 重庆·南岸区·茶园新区 | 7-8K | 3-5年本科 | 智果云科技 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/2efe682a5e8c76341XV82tq8FVNT.html |
| 高级java开发 | 重庆·渝北区·光电园 | 15-20K | 5-10年本科 | 瓴银 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/5779683f1c975a8d1HZz2d-9ElRW.html |
| WCS/java开发工程师 | 重庆·渝北区·园博园 | 10-14K | 5-10年本科 | 夔牛科技 | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/0317198bb6d061bc1XV529S_GFtQ.html |
| Java | 重庆 | 15-25K | 1-3年本科 | 某知名互联网公司 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/e077abb41e2d7d181HF509S1E1dY.html |
| 腾讯金融云Java研发工程师 | 重庆·渝北区·新牌坊 | 15-25K·16薪 | 5-10年本科 | 腾讯 | 互联网不需要融资10000人以上 | https://www.zhipin.com/job_detail/b2b90c9b0f0202111nN72dS0FVVS.html |
| Java高级开发工程师 | 重庆·渝北区·空港新城 | 9-12K | 5-10年大专 | 东软集团 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/a5a031021b8031e71Hx92dS5E1VR.html |
| Java技术专家 | 重庆 | 40-70K·16薪 | 5-10年本科 | 某国内知名互联网金融公司 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/fafbe13bae58c8e61HJz2t29FFdZ.html |
| 高级java开发 （财务方向） | 重庆 | 面议 | 5-10年本科 | 啄木鸟家庭维修 | 生活服务(O2O)不需要融资1000-9999人 | https://www.zhipin.com/job_detail/f345cc1ceb5b83731HN93t69FVJZ.html |
| 高级JAVA开发 | 重庆·渝中区·上清寺 | 12-18K | 5-10年大专 | 重庆智美医科技 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/f94165eff86196ca1n1y0tu8FlNR.html |
