| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| Java | 北京 | 20-40K·24薪 | 5-10年本科 | 某大型信托公司 | 信托不需要融资100-499人 | https://www.zhipin.com/job_detail/40254c7c6ac34e231HZ72920EFdV.html |
| Java开发工程师 | 北京 | 40-60K | 5-10年本科 | 北京某大型互联网金融公司 | 互联网金融1000-9999人 | https://www.zhipin.com/job_detail/17d5dd2af59a63051HN70ti-GVNY.html |
| 中信银行-Java开发 | 北京·朝阳区·高碑店 | 20-23K | 5-10年本科 | 开科唯识 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/6ea792f44fcb3f4c1HV509m9E1dT.html |
| java工程师 | 北京·海淀区·中关村 | 18-22K | 5-10年本科 | 象元研究院 | 非盈利机构不需要融资0-20人 | https://www.zhipin.com/job_detail/1f83d37bdf2833351HNy0tS_FFFZ.html |
| java架构师 | 北京·丰台区·七里庄 | 25-35K·13薪 | 5-10年本科 | 北京辰芯智能科技... | 信息安全100-499人 | https://www.zhipin.com/job_detail/c97997664ef7622b1HR_2di9GVZY.html |
| Java开发-海外借贷 | 北京 | 35-50K·14薪 | 5-10年本科 | 某大型互联网公司 | 互联网不需要融资500-999人 | https://www.zhipin.com/job_detail/988e1d6c8c92bc3e1HJz2t-1FFZT.html |
| 高级Java工程师 | 北京 | 25-45K | 5-10年本科 | 某大型租赁公司 | 租赁/拍卖/典当/担保100-499人 | https://www.zhipin.com/job_detail/1adaee3f188eefc21HF429i4FVdX.html |
| Java | 北京·通州区·马驹桥 | 20-40K·16薪 | 5-10年本科 | 京东集团 | 电子商务已上市10000人以上 | https://www.zhipin.com/job_detail/c530991d415b21fc1HJy2dm4EldS.html |
| Java（亦庄） | 北京·通州区·马驹桥 | 17-21K | 5-10年大专 | 上海思芮 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/32684177b7e12bcb1HN509W5FFJU.html |
| java | 北京·东城区·东四 | 17-22K | 5-10年本科 | 易宝软件 | 互联网未融资1000-9999人 | https://www.zhipin.com/job_detail/4aac168656f3c2501Hx83dS6GVFV.html |
| Java开发工程师 | 北京·东城区·法华寺 | 25-40K·14薪 | 5-10年本科 | 鲸鹳科技 | 互联网C轮500-999人 | https://www.zhipin.com/job_detail/ea9d6d7b0ca4eeff1XZ-2N24FVRW.html |
| 高级Java开发工程师 | 北京 | 20-35K·14薪 | 5-10年本科 | 某中型大数据上市公司 | 大数据已上市500-999人 | https://www.zhipin.com/job_detail/a1ee3ff95edbf9681Hx80921FVBR.html |
| java开发 | 北京 | 20-35K | 5-10年本科 | 某知名通信公司 | 通信/网络设备1000-9999人 | https://www.zhipin.com/job_detail/543c6126e92fc0881Hx73N-4GVdX.html |
| java开发工程师 | 北京 | 30-35K | 5-10年本科 | 某大型通信/网络设备上市公司 | 通信/网络设备已上市10000人以上 | https://www.zhipin.com/job_detail/044a7e3478f0c9f51Hx-29i5FldX.html |
| java开发 | 北京 | 20-24K | 5-10年本科 | 某中型人力资源服务公司 | 人力资源服务100-499人 | https://www.zhipin.com/job_detail/1756a4a4e203eaee1HNz3d25ElJW.html |
| Java开发工程师 | 北京·大兴区·亦庄 | 20-35K | 5-10年本科 | 京东科技集团 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/ffe1c449d546699f1Hx52t27GVVX.html |
| 高级java开发组长 | 北京·海淀区·西二旗 | 20-25K | 5-10年本科 | 北京南天 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/6015285f25baad0d1HB83N27EVdW.html |
| java开发工程师 | 北京 | 25-40K·15薪 | 5-10年本科 | 某大型知名互联网金融公司 | 互联网金融不需要融资10000人以上 | https://www.zhipin.com/job_detail/faf3c8d7a1b1e2621HZ729-5FlJU.html |
| java技术经理 | 北京·西城区·西直门 | 20-25K | 5-10年本科 | 动动省 | 互联网未融资20-99人 | https://www.zhipin.com/job_detail/2ef282c736a68e421HJz3di-ElFY.html |
| JAVA开发工程师 | 北京·西城区·德外大街 | 20-30K | 5-10年本科 | 北京诚联信科技 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/e2f1293eaa7b1a1c1nR509S8GFdX.html |
| 北京纯后端开发岗 java | 北京·海淀区·学院路 | 15-25K | 5-10年本科 | 企盟互联 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/a87d5cc876dd63591Hx92dy8F1tY.html |
| Java架构师 | 北京 | 40-50K·14薪 | 5-10年本科 | 某大型知名人力资源服务公司 | 人力资源服务10000人以上 | https://www.zhipin.com/job_detail/b5911054c4d735151HB-2dm6FVFR.html |
| Java | 北京·海淀区·上地 | 20-30K·14薪 | 5-10年本科 | 数字星球 | 铁路/船舶/航空/航天制造未融资100-499人 | https://www.zhipin.com/job_detail/02ba7772ecf958451Hx50tS6GVpU.html |
| Java | 北京 | 35-65K·15薪 | 5-10年本科 | 北京某大型知名互联网公司 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/a383c7f9b732ef471HN43Nq9FFVY.html |
| Java | 北京 | 45-60K·15薪 | 5-10年本科 | 北京某大型互联网公司 | 互联网不需要融资10000人以上 | https://www.zhipin.com/job_detail/32373156838b15a41HN529i-F1tW.html |
| java开发工程师 | 北京·海淀区·西北旺 | 15-22K·13薪 | 5-10年本科 | 安徽兆尹科技 | 计算机软件未融资1000-9999人 | https://www.zhipin.com/job_detail/5be6ef3aeefc92f81HN42du_GVVW.html |
