| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| 高级java | 成都 | 20-28K·15薪 | 5-10年本科 | 某大型计算机软件公司 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/b8448431a51ba1b81HB-2tq_GFtW.html |
| 高级java研发工程师 | 成都·锦江区·琉璃场 | 15-20K | 5-10年本科 | 鲁班(北京)电子商务 | 电子商务未融资100-499人 | https://www.zhipin.com/job_detail/29e53a9f46c0f2d71Hx539u0GFpT.html |
| Java高级软件工程师 | 成都·武侯区·新会展中心 | 15-30K·15薪 | 5-10年本科 | 天翼云 | 计算机软件未融资1000-9999人 | https://www.zhipin.com/job_detail/2a30ca0ee17cc0fc1XJ43dm7FlNR.html |
| 高级Java（K8S/docker） | 成都·武侯区·中和 | 15-17K | 5-10年本科 | 信必优Symbio | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/893b0a5d79e266fc1Hx52tS6EVpY.html |
| Java高级开发工程师 | 成都·武侯区·武侯立交 | 20-30K·16薪 | 3-5年本科 | 京东集团 | 电子商务已上市10000人以上 | https://www.zhipin.com/job_detail/bc258d82371dee631nx82Ny9ElY~.html |
| Java开发工程师 | 成都·武侯区·大源 | 15-25K·15薪 | 5-10年本科 | 同程旅行 | 互联网已上市1000-9999人 | https://www.zhipin.com/job_detail/fbe836d896ab5f041HN40ty4FVtX.html |
| Java研发工程师（高级） | 成都·双流区·广都 | 15-25K·13薪 | 5-10年大专 | 业亿辰科技 | 互联网未融资20-99人 | https://www.zhipin.com/job_detail/f6e627fb62ccfe781nVy09u5GFNW.html |
| 国有 朝九晚五  Java | 成都 | 35-55K·16薪 | 经验不限本科 | 某大型证券公司 | 证券/期货未融资500-999人 | https://www.zhipin.com/job_detail/6eb2fa0d89ba8d701X162d2_EVZW.html |
| 高级Java工程师 | 成都·成华区·东郊记忆 | 12-24K | 5-10年本科 | 中电锦江 | 电子/硬件开发1000-9999人 | https://www.zhipin.com/job_detail/390af2641fdef9d71XZ43Nu4ElRV.html |
| Java开发/专家 | 成都 | 35-65K·16薪 | 3-5年本科 | 某500强上市公司 | 互联网已上市10000人以上 | https://www.zhipin.com/job_detail/6c3937a2cfc937611HJ93tq0ElFS.html |
| Java | 成都·武侯区·新会展中心 | 20-30K | 5-10年本科 | 阿里集团 | 互联网已上市10000人以上 | https://www.zhipin.com/job_detail/7412f99bae357ee81nVz2Ny-F1RZ.html |
| java高级技术经理 | 成都·武侯区·桂溪 | 15-22K·13薪 | 5-10年本科 | 亚信科技 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/ce96269e9b29bbd21Xx73tu0F1NU.html |
| java开发组长 | 成都·武侯区·桂溪 | 8-12K·13薪 | 5-10年本科 | 和裕网络 | 社交网络与媒体不需要融资20-99人 | https://www.zhipin.com/job_detail/33033b5cc4c6effa1Hx63tW5GVJU.html |
| java微服务 | 成都·武侯区·中和 | 15-18K | 5-10年本科 | 宏利金融全球服务中心 | 互联网金融已上市10000人以上 | https://www.zhipin.com/job_detail/ecb8f6021d96ce5c1Hx83NW0FVBX.html |
| java开发工程师 | 成都·武侯区·新会展中心 | 16-19K | 5-10年本科 | 中电金信 | 计算机软件B轮10000人以上 | https://www.zhipin.com/job_detail/323234623d07b21b1HJ62t68FVNW.html |
| Java开发/Java Developer (AEM) | 成都·武侯区·新会展中心 | 12-22K | 5-10年本科 | 探谋网络 | 互联网未融资20-99人 | https://www.zhipin.com/job_detail/cde8342172d1757d1XJz3d-6GVRU.html |
| Java服务端负责人 | 成都·武侯区·神仙树 | 25-50K·13薪 | 5-10年本科 | 星点网络 | 互联网未融资100-499人 | https://www.zhipin.com/job_detail/a02697a023dbe9aa1XFz39u-FFdU.html |
| 高级Java开发工程师 | 成都·武侯区·银泰城 | 20-40K | 5-10年本科 | 蚂蚁集团 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/936fc81ca373db1f0XJ92Nm_E1E~.html |
| 中高级JAVA开发（上市公司） | 成都·武侯区·孵化园 | 15-20K | 5-10年本科 | 顺网科技 | 互联网已上市1000-9999人 | https://www.zhipin.com/job_detail/6e026de29d3d9e571Hx-2Nq7EVNT.html |
| Java工程师高级 | 成都·武侯区·新会展中心 | 12-20K·13薪 | 5-10年本科 | 三思德科技 | 企业服务未融资20-99人 | https://www.zhipin.com/job_detail/57bbd8800f69389c1XZ_3dq9ElBU.html |
